task,phase,kv_type,layer,kv_head,bucket,metric,count,mean,min,max,std
dureader,prefill,v,7,0,bucketlast,minmax_oracle_gap,30,0.0002109350636601448,0.0,0.00173942930996418,0.00048121959561756006
dureader,prefill,v,7,0,bucketmiddle,current_oracle_gap,34,0.001426042495843242,0.0,0.011036287993192673,0.0027601002834914583
dureader,prefill,v,7,0,bucketmiddle,minmax_oracle_gap,34,0.0002455517978352659,0.0,0.0029268693178892136,0.0006176401725485816
dureader,prefill,v,7,1,bucketfirst,current_oracle_gap,35,0.003740203260843243,0.0,0.04885213170200586,0.008828145340258147
dureader,prefill,v,7,1,bucketfirst,minmax_oracle_gap,35,0.004596318065055779,0.0,0.03089919313788414,0.007822761988909835
dureader,prefill,v,7,1,bucketlast,current_oracle_gap,24,0.00033525666610027355,0.0,0.002309737727046013,0.0005988995535578284
dureader,prefill,v,7,1,bucketlast,minmax_oracle_gap,24,0.00019796722335740924,0.0,0.0013029258698225021,0.0004081789056100557
dureader,prefill,v,7,1,bucketmiddle,current_oracle_gap,37,0.0006636579244120701,0.0,0.00836401991546154,0.001775478958632298
dureader,prefill,v,7,1,bucketmiddle,minmax_oracle_gap,37,0.00047842773130616625,0.0,0.005707889795303345,0.0012979423767813117
dureader,prefill,v,7,2,bucketfirst,current_oracle_gap,30,0.0009978305936480562,0.0,0.006935089826583862,0.001416269583118423
dureader,prefill,v,7,2,bucketfirst,minmax_oracle_gap,30,0.0007414875164007147,0.0,0.004379350924864411,0.0011287000131624766
dureader,prefill,v,7,2,bucketlast,current_oracle_gap,35,0.0009612865213836942,0.0,0.0072922129184007645,0.001722781703804319
dureader,prefill,v,7,2,bucketlast,minmax_oracle_gap,35,8.883968527827944e-05,0.0,0.001229710876941681,0.00024404349767722207
dureader,prefill,v,7,2,bucketmiddle,current_oracle_gap,31,0.0014849928237738149,0.0,0.006042417138814926,0.0016894379866057348
dureader,prefill,v,7,2,bucketmiddle,minmax_oracle_gap,31,0.00023506366978249242,0.0,0.002570396289229393,0.0005603258781822291
dureader,prefill,v,7,3,bucketfirst,current_oracle_gap,33,0.0016262478646681163,0.0,0.005706435535103083,0.0020167293365157823
dureader,prefill,v,7,3,bucketfirst,minmax_oracle_gap,33,0.000894109041176059,0.0,0.005706435535103083,0.0016233312920918741
dureader,prefill,v,7,3,bucketlast,current_oracle_gap,29,0.001029664249127281,0.0,0.005293937399983406,0.0015800410608156098
dureader,prefill,v,7,3,bucketlast,minmax_oracle_gap,29,0.00032142077668987474,0.0,0.002647070214152336,0.0006836621000825675
dureader,prefill,v,7,3,bucketmiddle,current_oracle_gap,34,0.0013908443506807089,0.0,0.00794294849038124,0.002034664832146349
dureader,prefill,v,7,3,bucketmiddle,minmax_oracle_gap,34,0.00018584166708237985,0.0,0.001655268482863903,0.00044286380335395643
dureader,prefill,v,7,4,bucketfirst,current_oracle_gap,32,0.0023196842303150333,0.0,0.01232638768851757,0.00316914808027278
dureader,prefill,v,7,4,bucketfirst,minmax_oracle_gap,32,0.002227538665465545,0.0,0.012115853605791926,0.003424749173602941
dureader,prefill,v,7,4,bucketlast,current_oracle_gap,31,0.0007684664770720467,0.0,0.004509839229285717,0.0012396048682403974
dureader,prefill,v,7,4,bucketlast,minmax_oracle_gap,31,3.0415312897774483e-05,0.0,0.0005621542222797871,0.00011497709080656067
dureader,prefill,v,7,4,bucketmiddle,current_oracle_gap,33,0.00038519165845531404,0.0,0.003469814546406269,0.0007425892496271059
dureader,prefill,v,7,4,bucketmiddle,minmax_oracle_gap,33,0.00024148529734123838,0.0,0.0027703195810317993,0.0006363304235119272
dureader,prefill,v,7,5,bucketfirst,current_oracle_gap,29,0.007143860939761688,0.0,0.027819687966257334,0.009717447593958761
dureader,prefill,v,7,5,bucketfirst,minmax_oracle_gap,29,0.0074499530300241095,0.0,0.027819687966257334,0.009522581208588938
dureader,prefill,v,7,5,bucketlast,current_oracle_gap,31,0.0007296088301847058,0.0,0.003537055104970932,0.0010863941058036068
